SchoolID SchoolName FamilyofSchools Ward LOI2014Score LOI2014Rank LOI2011Score LOI2011Rank LOI2009Score LOI2009Rank
194 "Maple Leaf Public School" WR5 6 0.98816 1 0.991464 1 0.992779 1
1382 "Nelson Mandela Park Public School" WR9 14 0.984217 2 0.982134 6 0.990082 2
126 "Flemington Public School" WR3 8 0.982542 3 0.980034 7 0.980339 7
247 "Shoreham Public Sports and Wellness Academy" WR2 4 0.981357 4 0.986689 3 0.986243 4
190 "Lawrence Heights Middle School" WR3 8 0.980141 5 0.955958 13 0.953673 16
296 "Yorkwoods Public School" WR2 4 0.977853 6 0.967346 10 0.948685 20
168 "Firgrove Public School" WR2 4 0.976625 7 0.967121 11 0.96375 10
1260 "Willow Park Junior Public School" ER14 22 0.974785 8 0.983524 4 0.983149 5
1403 "Sprucecourt Public School" WR9 14 0.969943 9 0.976411 8 0.980241 8
100 "Driftwood Public School" WR2 4 0.966938 10 0.975334 9 0.972897 9
1429 "Cordella Junior Public School" WR5 6 0.959569 11 0.955249 14 0.931315 24
66 "Chalkfarm Public School" WR2 4 0.958847 12 0.96559 12 0.958767 13
209 "Oakdale Park Middle School" WR2 5 0.958632 13 0.944317 20 0.913939 31
267 "Topcliff Public School" WR2 4 0.952793 14 0.945026 19 0.959705 12
180 "Brookview Middle School" WR2 4 0.951075 15 0.951916 15 0.957146 14
1355 "Lord Dufferin Junior and Senior Public School" WR9 14 0.950699 16 0.986869 2 0.98252 6
1146 "Eastview Public School" ER13 22 0.95011 17 0.951813 16 0.950323 17
1239 "St Margaret's Public School" ER20 22 0.946273 18 0.923733 26 0.940976 23
144 "Gosford Public School" WR2 4 0.944149 19 0.931901 23 0.96106 11
1031 "Braeburn Junior School" WR1 1 0.941889 20 0.879053 46 0.913203 32
1438 "H J Alexander Community School" WR5 6 0.936896 21 0.947751 18 0.957032 15
226 "Pelmo Park Public School" WR5 6 0.935463 22 0.878366 47 0.911861 34
1428 "Charles E Webster Public School" WR5 6 0.933912 23 0.919957 29 0.926714 27
1424 "Bala Avenue Community School" WR5 6 0.929159 24 0.934235 22 0.949257 18
1154 "Galloway Road Public School" ER20 22 0.927919 25 0.915423 31 0.946329 21
166 "Highview Public School" WR2 5 0.92699 26 0.85804 57 0.847737 60
4075 "Jean Augustine Girls' Leadership Academy" ER19 20 0.925694 27 0.925694 27 0.925694 27
54 "Calico Public School" WR2 5 0.923283 28 0.913264 33 0.889178 46
1445 "Keelesdale Junior Public School" WR5 6 0.922428 29 0.915507 30 0.905432 37
15 "Amesbury Middle School" WR5 6 0.921882 30 0.891058 41 0.89742 44
1046 "Greenholme Junior Middle School" WR1 1 0.918079 31 0.904083 36 0.917388 29
260 "Stanley Public School" WR2 4 0.917322 32 0.866818 54 0.873572 53
211 "Beverley Heights Middle School" WR2 5 0.917076 33 0.904314 35 0.891842 45
26 "Baycrest Public School" WR3 8 0.91691 34 0.929878 24 0.901757 40
1853 "Portage Trail Community Middle School" WR5 6 0.91481 35 0.888965 42 0.904757 38
28 "Blacksmith Public School" WR2 4 0.912822 36 0.901245 37 0.852528 59
1437 "George Syme Community School" WR5 6 0.912202 37 0.923888 25 0.93036 25
46 "Brookhaven Public School" WR5 6 0.911867 38 0.869672 53 0.900646 41
1275 "Blake Street Junior Public School" WR10 15 0.908306 39 0.923423 27 0.906484 35
1203 "Mason Road Junior Public School" ER13 18 0.906138 40 0.884503 44 0.880971 49
1252 "West Hill Public School" ER20 22 0.906013 41 0.887199 43 0.897938 43
1135 "Cliffside Public School" ER12 18 0.902987 42 0.758732 117 0.766835 115
1447 "Lambton Park Community School" WR5 6 0.902221 43 0.881931 45 0.839221 70
270 "Tumpane Public School" WR2 5 0.901572 44 0.876648 49 0.903723 39
1077 "Seneca School" WR4 2 0.898365 45 0.876973 48 0.842419 64
1449 "Rockcliffe Middle School" WR5 6 0.898153 46 0.897787 39 0.888985 47
1174 "Highland Heights Junior Public School" ER19 20 0.897306 47 0.909986 34 0.869359 55
1398 "Ryerson Community School" WR7 10 0.89339 48 0.936462 21 0.942614 22
1444 "Silverthorn Community School" WR5 6 0.89101 49 0.870469 52 0.834188 72
3997 "Africentric Alternative School" WR2 5 0.888303 50 0.861038 56 0.861038 56
1250 "Warden Avenue Public School" ER12 18 0.888192 51 0.895531 40 0.915815 30
1450 "Roselands Junior Public School" WR5 6 0.884702 52 0.856576 58 0.878435 50
1137 "Corvette Junior Public School" ER12 18 0.877187 53 0.829763 73 0.809959 88
30 "Blaydon Public School" WR2 5 0.877116 54 0.841507 65 0.844818 62
1130 "Chester Le Junior Public School" ER18 20 0.876646 55 0.861799 55 0.768222 113
1123 "Cedar Drive Junior Public School" ER13 18 0.876109 56 0.921003 28 0.927221 26
1283 "Carleton Village JS Sports and Wellness Academy" WR8 9 0.875325 57 0.820004 81 0.859993 57
1387 "Queen Alexandra Middle School" WR10 15 0.87364 58 0.915317 32 0.905743 36
208 "O'Connor Public School" ER15 17 0.872867 59 0.832162 70 0.82834 73
4074 "Boys Leadership Academy" WR1 1 0.870455 60 0.870455 60 0.870455 60
1057 "Kingsview Village Junior School" WR4 1 0.870442 61 0.815553 88 0.812587 84
1084 "The Elms Junior Middle School" WR1 1 0.869269 62 0.802242 97 0.841184 66
1207 "Military Trail Public School" ER20 22 0.866578 63 0.876038 50 0.899285 42
261 "Stilecroft Public School" WR2 5 0.861967 64 0.810479 91 0.757766 123
1431 "Dennis Avenue Community School" WR5 6 0.86053 65 0.901015 38 0.923305 28
1854 "Portage Trail Community Junior School" WR5 6 0.860404 66 0.817979 85 0.827468 75
246 "Sheppard Public School" WR2 5 0.854354 67 0.87485 51 0.872549 54
1314 "First Nations Junior and Senior School of Toronto" WR10 15 0.854238 68 0.841458 66 0.913047 33
1040 "Elmbank Junior Middle Academy" WR1 1 0.852225 69 0.702603 153 0.760613 118
94 "Downsview Public School" WR2 5 0.850071 70 0.824991 80 0.775392 107
1357 "Lucy McCormick Senior School" WR7 7 0.84881 71 0.828356 75 0.824705 76
